txn_id,amount,ts,channel,risk_score,product_cd,addr1,addr2,card_id,customer_id,profile_id,email_domain
3000322,9.62,2016-07-02 05:24:55,online,0.14,C,,87.0,C11923-K1,C11923,SAMSUNG SM-J700M Build/MMB29K | UnknownOS | samsung browser 6.2 | UnknownScreen,gmail.com
3000323,117.07,2016-07-02 05:27:24,in_person,0.18,W,384.0,87.0,C13440-K1,C13440,,
3000327,99.94,2016-07-02 05:37:35,in_person,0.16,W,,87.0,C08945-K1,C08945,,yahoo.com
3000332,117.05,2016-07-02 05:51:57,in_person,0.73,W,476.0,87.0,C06403-K2,C06403,,gmail.com
3000336,418.07,2016-07-02 05:57:27,in_person,0.06,W,123.0,87.0,C13440-K1,C13440,,gmail.com
3000337,123.59,2016-07-02 05:58:09,in_person,0.21,W,330.0,87.0,C13440-K1,C13440,,yahoo.com
3000338,29.92,2016-07-02 05:59:52,in_person,0.01,W,110.0,87.0,C08945-K1,C08945,,
3000340,170.98,2016-07-02 06:02:41,in_person,0.08,W,123.0,87.0,C13440-K1,C13440,,gmail.com
3000342,105.87,2016-07-02 06:03:22,in_person,0.12,W,220.0,87.0,C13440-K1,C13440,,
3000343,149.99,2016-07-02 06:04:20,in_person,0.01,W,220.0,87.0,C08945-K1,C08945,,gmail.com
3000344,35.9,2016-07-02 06:04:42,in_person,0.16,W,433.0,87.0,C13440-K1,C13440,,gmail.com
3000345,408.58,2016-07-02 06:07:26,in_person,0.1,W,337.0,87.0,C13440-K1,C13440,,
3000346,265.04,2016-07-02 06:08:34,in_person,0.2,W,325.0,87.0,C13440-K1,C13440,,gmail.com
3000347,304.93,2016-07-02 06:09:16,in_person,0.04,W,204.0,87.0,C13440-K1,C13440,,yahoo.com
3000348,68.86,2016-07-02 06:10:29,in_person,0.44,W,310.0,87.0,C13440-K1,C13440,,gmail.com
3000350,170.94,2016-07-02 06:13:47,in_person,0.27,W,441.0,87.0,C13440-K1,C13440,,
3000351,75.92,2016-07-02 06:13:56,in_person,0.14,W,337.0,87.0,C13440-K1,C13440,,
3000352,77.05,2016-07-02 06:14:43,in_person,0.17,W,337.0,87.0,C13440-K1,C13440,,yahoo.com
3000353,226.06,2016-07-02 06:15:37,in_person,0.01,W,472.0,87.0,C13440-K1,C13440,,gmail.com
3000354,99.95,2016-07-02 06:16:32,in_person,0.13,W,220.0,87.0,C13440-K1,C13440,,yahoo.com
3000356,105.92,2016-07-02 06:19:13,in_person,0.17,W,220.0,87.0,C13440-K1,C13440,,
3000357,113.0,2016-07-02 06:20:06,in_person,0.09,W,476.0,87.0,C13440-K1,C13440,,
3000358,239.99,2016-07-02 06:21:49,in_person,0.16,W,441.0,87.0,C13440-K1,C13440,,gmail.com
3000359,152.91,2016-07-02 06:23:10,in_person,0.07,W,485.0,87.0,C13440-K1,C13440,,hotmail.com
3000360,108.01,2016-07-02 06:25:03,in_person,0.03,W,315.0,87.0,C13440-K1,C13440,,gmail.com
3000361,116.96,2016-07-02 06:25:23,in_person,0.03,W,204.0,87.0,C13440-K1,C13440,,
3000362,164.94,2016-07-02 06:25:29,in_person,0.12,W,264.0,87.0,C13440-K1,C13440,,gmail.com
3000363,160.0,2016-07-02 06:26:52,in_person,0.18,W,177.0,87.0,C13440-K1,C13440,,
3000364,226.07,2016-07-02 06:27:31,in_person,0.05,W,123.0,87.0,C13440-K1,C13440,,
3000367,73.96,2016-07-02 06:32:38,in_person,0.01,W,337.0,87.0,C13440-K1,C13440,,
3000368,50.02,2016-07-02 06:33:31,in_person,0.07,W,264.0,87.0,C13440-K1,C13440,,yahoo.com
3000369,226.09,2016-07-02 06:34:07,in_person,0.09,W,264.0,87.0,C13440-K1,C13440,,gmail.com
3000370,49.94,2016-07-02 06:34:15,in_person,0.17,W,143.0,87.0,C13440-K1,C13440,,anonymous.com
3000371,180.04,2016-07-02 06:37:59,in_person,0.09,W,485.0,87.0,C13440-K1,C13440,,
3000372,60.01,2016-07-02 06:38:05,in_person,0.32,W,337.0,87.0,C13440-K1,C13440,,yahoo.com
3000375,59.05,2016-07-02 06:41:41,in_person,0.03,W,512.0,87.0,C13440-K1,C13440,,
3000376,364.95,2016-07-02 06:42:18,in_person,0.1,W,123.0,87.0,C13440-K1,C13440,,
3000377,116.93,2016-07-02 06:43:06,in_person,0.03,W,325.0,87.0,C02354-K1,C02354,,
3000380,36.9,2016-07-02 06:49:06,in_person,0.04,W,436.0,87.0,C13440-K1,C13440,,yahoo.com
3000381,38.63,2016-07-02 06:49:29,online,0.04,C,,87.0,C11923-K1,C11923,SM-G531H Build/LMY48B | UnknownOS | chrome 62.0 for android | UnknownScreen,hotmail.com
3000382,249.91,2016-07-02 06:49:43,in_person,0.31,W,325.0,87.0,C13440-K1,C13440,,gmail.com
3000383,47.01,2016-07-02 06:50:56,in_person,0.1,W,325.0,87.0,C13440-K1,C13440,,gmail.com
3000384,19.93,2016-07-02 06:51:45,in_person,0.21,W,324.0,87.0,C13440-K1,C13440,,
3000385,57.96,2016-07-02 06:54:19,in_person,0.02,W,231.0,87.0,C13440-K1,C13440,,
3000387,444.91,2016-07-02 06:57:14,in_person,0.1,W,191.0,87.0,C13440-K1,C13440,,gmail.com
3000388,67.95,2016-07-02 06:57:57,in_person,0.19,W,325.0,87.0,C13440-K1,C13440,,gmail.com
3000389,70.03,2016-07-02 06:58:16,in_person,0.3,W,231.0,87.0,C13440-K1,C13440,,
3000392,24.96,2016-07-02 06:59:53,in_person,0.13,W,177.0,87.0,C08945-K1,C08945,,gmail.com
3000393,59.02,2016-07-02 07:07:05,in_person,0.01,W,220.0,87.0,C13440-K1,C13440,,yahoo.com
3000394,82.92,2016-07-02 07:07:39,in_person,0.02,W,205.0,87.0,C13440-K1,C13440,,gmail.com
3000395,19.97,2016-07-02 07:08:18,in_person,0.42,W,325.0,87.0,C13440-K1,C13440,,
3000396,213.07,2016-07-02 07:10:14,in_person,0.4,W,123.0,87.0,C13440-K1,C13440,,gmail.com
3000397,225.94,2016-07-02 07:11:26,in_person,0.22,W,123.0,87.0,C13440-K1,C13440,,
3000398,140.95,2016-07-02 07:11:37,in_person,0.18,W,204.0,87.0,C13440-K1,C13440,,gmail.com
3000401,160.09,2016-07-02 07:15:42,in_person,0.14,W,337.0,87.0,C13440-K1,C13440,,gmail.com
3000402,169.88,2016-07-02 07:16:36,in_person,0.05,W,337.0,87.0,C13440-K1,C13440,,gmail.com
3000405,150.03,2016-07-02 07:21:04,in_person,0.04,W,330.0,87.0,C13440-K1,C13440,,yahoo.com
3000407,170.03,2016-07-02 07:22:24,in_person,0.01,W,337.0,87.0,C13440-K1,C13440,,gmail.com
3000408,44.92,2016-07-02 07:23:06,in_person,0.05,W,226.0,87.0,C13440-K1,C13440,,gmail.com
3000409,91.93,2016-07-02 07:23:33,in_person,0.11,W,251.0,87.0,C13440-K1,C13440,,yahoo.com
3000410,225.96,2016-07-02 07:24:23,in_person,0.02,W,204.0,87.0,C13440-K1,C13440,,gmail.com
3000412,117.01,2016-07-02 07:27:26,in_person,0.08,W,299.0,87.0,C13440-K1,C13440,,gmail.com
3000413,74.92,2016-07-02 07:29:27,in_person,0.06,W,203.0,87.0,C13440-K1,C13440,,gmail.com
3000414,445.0,2016-07-02 07:30:33,in_person,0.02,W,272.0,87.0,C13440-K1,C13440,,gmail.com
3000416,77.93,2016-07-02 07:31:56,in_person,0.02,W,433.0,87.0,C13440-K1,C13440,,gmail.com
3000417,60.08,2016-07-02 07:33:22,in_person,0.01,W,337.0,87.0,C13440-K1,C13440,,yahoo.com
3000418,157.91,2016-07-02 07:35:29,in_person,0.09,W,264.0,87.0,C13440-K1,C13440,,
3000419,159.95,2016-07-02 07:37:05,in_person,0.2,W,324.0,87.0,C13440-K1,C13440,,
3000420,35.03,2016-07-02 07:38:44,in_person,0.21,W,191.0,87.0,C13440-K1,C13440,,gmail.com
3000421,20.01,2016-07-02 07:42:03,in_person,0.3,W,220.0,87.0,C13440-K1,C13440,,gmail.com
3000423,119.99,2016-07-02 07:42:43,in_person,0.15,W,231.0,87.0,C13440-K1,C13440,,
3000424,48.04,2016-07-02 07:45:56,in_person,0.08,W,387.0,87.0,C13440-K1,C13440,,yahoo.com
3000425,107.98,2016-07-02 07:46:33,in_person,0.01,W,384.0,87.0,C13440-K1,C13440,,
3000426,50.04,2016-07-02 07:49:40,in_person,0.04,W,330.0,87.0,C13440-K1,C13440,,
3000427,225.94,2016-07-02 07:50:29,in_person,0.08,W,264.0,87.0,C13440-K1,C13440,,gmail.com
3000428,411.92,2016-07-02 07:53:36,in_person,0.07,W,295.0,87.0,C13440-K1,C13440,,yahoo.com
3000429,250.08,2016-07-02 07:54:03,in_person,0.14,W,325.0,87.0,C02354-K1,C02354,,gmail.com
3000431,74.0,2016-07-02 07:59:53,in_person,0.07,W,337.0,87.0,C13440-K1,C13440,,
3000432,21.92,2016-07-02 08:00:30,in_person,0.19,W,330.0,87.0,C13440-K1,C13440,,gmail.com
3000433,523.99,2016-07-02 08:00:41,in_person,0.23,W,325.0,87.0,C13440-K1,C13440,,yahoo.com
3000434,126.0,2016-07-02 08:04:32,in_person,0.01,W,325.0,87.0,C13440-K1,C13440,,yahoo.com
3000436,53.98,2016-07-02 08:06:59,in_person,0.1,W,264.0,87.0,C13440-K1,C13440,,anonymous.com
3000437,107.95,2016-07-02 08:08:40,in_person,0.21,W,384.0,87.0,C13440-K1,C13440,,
3000438,77.0,2016-07-02 08:10:09,in_person,0.25,W,272.0,87.0,C13440-K1,C13440,,anonymous.com
3000439,220.02,2016-07-02 08:10:36,in_person,0.23,W,181.0,87.0,C13440-K1,C13440,,comcast.net
3000440,200.09,2016-07-02 08:13:10,in_person,0.25,W,204.0,87.0,C13440-K1,C13440,,yahoo.com
3000441,44.44,2016-07-02 08:15:36,in_person,0.03,W,272.0,87.0,C13440-K1,C13440,,gmail.com
3000444,59.04,2016-07-02 08:19:08,in_person,0.29,W,204.0,87.0,C13440-K1,C13440,,yahoo.com
3000448,59.98,2016-07-02 08:28:55,in_person,0.23,W,337.0,87.0,C13440-K1,C13440,,yahoo.com
3000449,78.88,2016-07-02 08:30:54,in_person,0.15,W,191.0,87.0,C13440-K1,C13440,,
3000450,77.06,2016-07-02 08:38:36,in_person,0.07,W,337.0,87.0,C13440-K1,C13440,,yahoo.com
3000451,117.01,2016-07-02 08:40:08,in_person,0.19,W,315.0,87.0,C13440-K1,C13440,,yahoo.com
3000452,35.92,2016-07-02 08:40:19,in_person,0.13,W,205.0,87.0,C13440-K1,C13440,,gmail.com
3000453,171.08,2016-07-02 08:51:25,in_person,0.1,W,325.0,87.0,C13440-K1,C13440,,
3000454,116.91,2016-07-02 08:51:35,in_person,0.24,W,315.0,87.0,C13440-K1,C13440,,yahoo.com
3000455,335.01,2016-07-02 08:54:29,in_person,0.14,W,123.0,87.0,C13440-K1,C13440,,
3000456,314.94,2016-07-02 08:56:20,in_person,0.04,W,299.0,87.0,C13440-K1,C13440,,yahoo.com
3000458,107.92,2016-07-02 09:01:04,in_person,0.02,W,420.0,87.0,C13440-K1,C13440,,gmail.com
3000459,100.02,2016-07-02 09:02:27,in_person,0.06,W,269.0,87.0,C13440-K1,C13440,,gmail.com
3000460,82.01,2016-07-02 09:04:01,in_person,0.13,W,123.0,87.0,C13440-K1,C13440,,
3000462,171.09,2016-07-02 09:15:37,in_person,0.05,W,433.0,87.0,C13440-K1,C13440,,
3000463,44.88,2016-07-02 09:20:11,in_person,0.3,W,448.0,87.0,C13440-K1,C13440,,gmail.com
3000464,99.93,2016-07-02 09:27:28,in_person,0.11,W,225.0,87.0,C13440-K1,C13440,,gmail.com
3000465,149.97,2016-07-02 09:27:54,in_person,0.15,W,494.0,87.0,C13440-K1,C13440,,yahoo.com
3000466,614.08,2016-07-02 09:29:05,in_person,0.08,W,325.0,87.0,C13440-K1,C13440,,yahoo.com
3000468,59.01,2016-07-02 09:38:05,in_person,0.14,W,325.0,87.0,C13440-K1,C13440,,
3000469,117.07,2016-07-02 09:38:42,in_person,0.26,W,220.0,87.0,C13440-K1,C13440,,yahoo.com
3000471,57.93,2016-07-02 09:41:24,in_person,0.02,W,220.0,87.0,C13440-K1,C13440,,gmail.com
3000473,54.43,2016-07-02 09:46:54,in_person,0.09,W,299.0,87.0,C13440-K1,C13440,,gmail.com
3000474,404.93,2016-07-02 09:47:12,in_person,0.17,W,204.0,87.0,C13440-K1,C13440,,gmail.com
3000475,159.98,2016-07-02 09:51:14,in_person,0.08,W,494.0,87.0,C13440-K1,C13440,,yahoo.com
3000476,76.96,2016-07-02 09:52:27,in_person,0.23,W,272.0,87.0,C13440-K1,C13440,,gmail.com
3000479,159.99,2016-07-02 10:03:01,in_person,0.02,W,231.0,87.0,C13440-K1,C13440,,
3000480,56.98,2016-07-02 10:07:48,in_person,0.26,W,330.0,87.0,C13440-K1,C13440,,gmail.com
3000483,149.91,2016-07-02 10:27:22,in_person,0.09,W,494.0,87.0,C13440-K1,C13440,,yahoo.com
3000484,35.88,2016-07-02 10:29:02,in_person,0.07,W,325.0,87.0,C13440-K1,C13440,,
3000485,300.01,2016-07-02 10:29:30,in_person,0.04,W,181.0,87.0,C13440-K1,C13440,,
3000486,100.05,2016-07-02 10:29:35,in_person,0.08,W,269.0,87.0,C13440-K1,C13440,,yahoo.com
3000487,223.94,2016-07-02 10:39:45,in_person,0.03,W,325.0,87.0,C02354-K1,C02354,,yahoo.com
3000488,170.97,2016-07-02 10:42:57,in_person,0.36,W,204.0,87.0,C13440-K1,C13440,,gmail.com
3000489,36.0,2016-07-02 10:51:03,in_person,0.05,W,441.0,87.0,C13440-K1,C13440,,gmail.com
3000490,152.02,2016-07-02 10:53:45,in_person,0.01,W,494.0,87.0,C13440-K1,C13440,,yahoo.com
3000491,225.96,2016-07-02 10:55:25,in_person,0.06,W,123.0,87.0,C13440-K1,C13440,,
3000492,77.0,2016-07-02 10:59:42,in_person,0.1,W,123.0,87.0,C13440-K1,C13440,,
3000493,449.93,2016-07-02 11:16:04,in_person,0.15,W,498.0,87.0,C13440-K1,C13440,,gmail.com
3000494,39.93,2016-07-02 11:18:30,in_person,0.13,W,325.0,87.0,C13440-K1,C13440,,gmail.com
3000498,100.02,2016-07-02 11:22:58,in_person,0.26,W,485.0,87.0,C13440-K1,C13440,,yahoo.com
3000499,400.06,2016-07-02 11:23:00,in_person,0.33,W,264.0,87.0,C13440-K1,C13440,,mail.com
3000500,170.91,2016-07-02 11:26:39,in_person,0.26,W,337.0,87.0,C13440-K1,C13440,,gmail.com
3000501,225.96,2016-07-02 11:31:41,in_person,0.35,W,123.0,87.0,C13440-K1,C13440,,aol.com
3000502,53.93,2016-07-02 11:37:29,in_person,0.32,W,264.0,87.0,C13440-K1,C13440,,gmail.com
3000504,167.08,2016-07-02 11:47:45,in_person,0.01,W,330.0,87.0,C13440-K1,C13440,,gmail.com
3000505,299.99,2016-07-02 11:52:24,in_person,0.35,W,126.0,87.0,C13440-K1,C13440,,gmail.com
3000506,44.59,2016-07-02 11:52:57,in_person,0.22,W,441.0,87.0,C13440-K1,C13440,,gmail.com
3000508,150.55,2016-07-02 11:53:54,in_person,0.04,W,204.0,87.0,C13440-K1,C13440,,
3000509,249.97,2016-07-02 11:56:50,in_person,0.04,W,325.0,87.0,C13440-K1,C13440,,yahoo.com
3000512,169.89,2016-07-02 11:58:49,in_person,0.16,W,337.0,87.0,C13440-K1,C13440,,yahoo.com
3000513,50.04,2016-07-02 12:00:04,in_person,0.33,W,325.0,87.0,C02354-K1,C02354,,
3000516,107.94,2016-07-02 12:06:18,in_person,0.38,W,310.0,87.0,C13440-K1,C13440,,
3000517,49.97,2016-07-02 12:07:26,in_person,0.14,W,327.0,87.0,C13440-K1,C13440,,yahoo.com
3000518,26.01,2016-07-02 12:07:51,in_person,0.4,W,123.0,87.0,C13440-K1,C13440,,
3000519,15.72,2016-07-02 12:09:27,online,0.07,C,,87.0,C11923-K1,C11923,Moto C Build/NRD90M.063 | UnknownOS | chrome 62.0 for android | UnknownScreen,outlook.com
3000520,235.04,2016-07-02 12:09:44,in_person,0.05,W,231.0,87.0,C13440-K1,C13440,,gmail.com
3000521,58.91,2016-07-02 12:10:07,in_person,0.02,W,204.0,87.0,C13440-K1,C13440,,
3000522,445.01,2016-07-02 12:12:12,in_person,0.33,W,272.0,87.0,C13440-K1,C13440,,gmail.com
3000523,100.05,2016-07-02 12:16:12,in_person,0.03,W,325.0,87.0,C02354-K1,C02354,,hotmail.com
3000525,287.53,2016-07-02 12:18:56,in_person,0.03,W,299.0,87.0,C13440-K1,C13440,,yahoo.com
3000526,149.97,2016-07-02 12:20:08,in_person,0.03,W,441.0,87.0,C13440-K1,C13440,,
3000529,19.91,2016-07-02 12:26:56,in_person,0.07,W,325.0,87.0,C02354-K1,C02354,,gmail.com
3000532,50.01,2016-07-02 12:29:18,in_person,0.04,W,476.0,87.0,C13440-K1,C13440,,
3000534,50.03,2016-07-02 12:31:06,in_person,0.27,W,204.0,87.0,C13440-K1,C13440,,
3000536,107.9,2016-07-02 12:34:10,in_person,0.09,W,315.0,87.0,C13440-K1,C13440,,
3000537,69.0,2016-07-02 12:35:58,in_person,0.26,W,181.0,87.0,C13440-K1,C13440,,
3000538,404.95,2016-07-02 12:36:54,in_person,0.1,W,204.0,87.0,C13440-K1,C13440,,
3000539,36.01,2016-07-02 12:38:58,in_person,0.06,W,220.0,87.0,C12311-K1,C12311,,gmail.com
3000540,67.93,2016-07-02 12:39:36,in_person,0.01,W,299.0,87.0,C13440-K1,C13440,,
3000541,59.0,2016-07-02 12:44:09,in_person,0.03,W,264.0,87.0,C13440-K1,C13440,,gmail.com
3000543,150.09,2016-07-02 12:45:37,in_person,0.01,W,512.0,87.0,C13440-K1,C13440,,yahoo.com
3000544,124.92,2016-07-02 12:46:31,in_person,0.03,W,433.0,87.0,C13440-K1,C13440,,yahoo.com
3000547,149.98,2016-07-02 12:48:24,in_person,0.02,W,205.0,87.0,C13440-K1,C13440,,yahoo.com
3000548,79.97,2016-07-02 12:48:43,in_person,0.06,W,269.0,87.0,C13440-K1,C13440,,yahoo.com
3000549,50.06,2016-07-02 12:50:18,in_person,0.16,W,264.0,87.0,C13440-K1,C13440,,
3000551,311.63,2016-07-02 12:58:57,in_person,0.01,W,269.0,87.0,C13440-K1,C13440,,
3000552,47.94,2016-07-02 13:00:49,in_person,0.03,W,205.0,87.0,C13440-K1,C13440,,
3000555,57.94,2016-07-02 13:02:59,in_person,0.1,W,264.0,87.0,C13440-K1,C13440,,gmail.com
3000556,57.97,2016-07-02 13:03:30,in_person,0.12,W,191.0,87.0,C13440-K1,C13440,,
3000563,58.92,2016-07-02 13:09:08,in_person,0.01,W,264.0,87.0,C13440-K1,C13440,,
3000565,47.86,2016-07-02 13:10:05,in_person,0.24,W,123.0,87.0,C13440-K1,C13440,,
3000566,100.06,2016-07-02 13:11:19,in_person,0.12,W,441.0,87.0,C13440-K1,C13440,,
3000567,60.09,2016-07-02 13:11:37,in_person,0.14,W,485.0,87.0,C13440-K1,C13440,,
3000568,119.92,2016-07-02 13:11:57,in_person,0.02,W,184.0,87.0,C13440-K1,C13440,,gmail.com
3000569,444.93,2016-07-02 13:13:06,in_person,0.01,W,272.0,87.0,C13440-K1,C13440,,gmail.com
3000570,469.94,2016-07-02 13:13:18,in_person,0.11,W,204.0,87.0,C13440-K1,C13440,,
3000571,54.54,2016-07-02 13:15:26,in_person,0.05,W,126.0,87.0,C13440-K1,C13440,,
3000573,234.87,2016-07-02 13:16:34,in_person,0.19,W,472.0,87.0,C13440-K1,C13440,,
