profile_id,device_info,os,browser,screen,device_type
Windows | UnknownOS | chrome 62.0 | UnknownScreen,Windows,nan,chrome 62.0,nan,desktop
es-us | UnknownOS | android webview 4.0 | UnknownScreen,es-us,nan,android webview 4.0,nan,mobile
Moto E (4) Plus Build/NMA26.42-69 | UnknownOS | chrome generic | UnknownScreen,Moto E (4) Plus Build/NMA26.42-69,nan,chrome generic,nan,mobile
Windows | Windows 7 | chrome 62.0 | 1920x1080,Windows,Windows 7,chrome 62.0,1920x1080,desktop
Windows | Windows 10 | edge 14.0 | 1920x1080,Windows,Windows 10,edge 14.0,1920x1080,desktop
7055A Build/KVT49L | UnknownOS | chrome 62.0 for android | UnknownScreen,7055A Build/KVT49L,nan,chrome 62.0 for android,nan,mobile
iOS Device | iOS 11.1.2 | mobile safari 11.0 | 1334x750,iOS Device,iOS 11.1.2,mobile safari 11.0,1334x750,mobile
UnknownDevice | Android | chrome 62.0 | 1280x720,nan,Android,chrome 62.0,1280x720,mobile
MacOS | Mac OS X 10_12_3 | chrome 62.0 | 1440x900,MacOS,Mac OS X 10_12_3,chrome 62.0,1440x900,desktop
Windows | Windows 10 | edge 15.0 | 1600x900,Windows,Windows 10,edge 15.0,1600x900,desktop
UnknownDevice | UnknownOS | mobile safari 10.0 | UnknownScreen,nan,nan,mobile safari 10.0,nan,mobile
iOS Device | iOS 11.1.2 | mobile safari 11.0 | 2208x1242,iOS Device,iOS 11.1.2,mobile safari 11.0,2208x1242,mobile
LG-K410 Build/LRX22G | UnknownOS | chrome 62.0 for android | UnknownScreen,LG-K410 Build/LRX22G,nan,chrome 62.0 for android,nan,mobile
LG-H870 Build/NRD90U | UnknownOS | chrome 62.0 for android | UnknownScreen,LG-H870 Build/NRD90U,nan,chrome 62.0 for android,nan,mobile
Windows | Windows 10 | chrome 62.0 | UnknownScreen,Windows,Windows 10,chrome 62.0,nan,desktop
Moto G (5) Plus Build/NPN25.137-72 | UnknownOS | android webview 4.0 | UnknownScreen,Moto G (5) Plus Build/NPN25.137-72,nan,android webview 4.0,nan,mobile
Windows | Windows 10 | chrome 62.0 | 1920x1080,Windows,Windows 10,chrome 62.0,1920x1080,desktop
Moto G (5) Build/NPP25.137-72 | UnknownOS | chrome generic | UnknownScreen,Moto G (5) Build/NPP25.137-72,nan,chrome generic,nan,mobile
iOS Device | iOS 11.1.0 | mobile safari 11.0 | 2048x1536,iOS Device,iOS 11.1.0,mobile safari 11.0,2048x1536,mobile
ALE-L23 Build/HuaweiALE-L23 | UnknownOS | chrome 46.0 for android | UnknownScreen,ALE-L23 Build/HuaweiALE-L23,nan,chrome 46.0 for android,nan,mobile
M4 SS4450 Build/MRA58K | UnknownOS | other | UnknownScreen,M4 SS4450 Build/MRA58K,nan,other,nan,mobile
LG-K580 Build/MRA58K | UnknownOS | chrome 62.0 for android | UnknownScreen,LG-K580 Build/MRA58K,nan,chrome 62.0 for android,nan,mobile
Trident/7.0 | Windows 10 | ie 11.0 for desktop | 1680x1050,Trident/7.0,Windows 10,ie 11.0 for desktop,1680x1050,desktop
Moto G (4) Build/NPJ25.93-14.5 | UnknownOS | chrome generic | UnknownScreen,Moto G (4) Build/NPJ25.93-14.5,nan,chrome generic,nan,mobile
SM-T710 Build/NRD90M | UnknownOS | chrome 62.0 for android | UnknownScreen,SM-T710 Build/NRD90M,nan,chrome 62.0 for android,nan,mobile
SAMSUNG | UnknownOS | chrome generic | UnknownScreen,SAMSUNG,nan,chrome generic,nan,mobile
Windows | UnknownOS | chrome 61.0 | UnknownScreen,Windows,nan,chrome 61.0,nan,desktop
ONE TOUCH 4033A Build/JDQ39 | UnknownOS | chrome 62.0 for android | UnknownScreen,ONE TOUCH 4033A Build/JDQ39,nan,chrome 62.0 for android,nan,mobile
F5121 Build/34.3.A.0.228 | UnknownOS | chrome 62.0 for android | UnknownScreen,F5121 Build/34.3.A.0.228,nan,chrome 62.0 for android,nan,mobile
iOS Device | iOS 11.0.1 | mobile safari 11.0 | 2732x2048,iOS Device,iOS 11.0.1,mobile safari 11.0,2732x2048,mobile
Blade V6 Build/LRX22G | UnknownOS | chrome 62.0 for android | UnknownScreen,Blade V6 Build/LRX22G,nan,chrome 62.0 for android,nan,mobile
SM-J510MN Build/MMB29M | UnknownOS | chrome 62.0 for android | UnknownScreen,SM-J510MN Build/MMB29M,nan,chrome 62.0 for android,nan,mobile
Moto G (4) Build/NPJS25.93-14-10 | UnknownOS | chrome generic | UnknownScreen,Moto G (4) Build/NPJS25.93-14-10,nan,chrome generic,nan,mobile
SAMSUNG SM-J700M Build/MMB29K | UnknownOS | samsung browser 6.2 | UnknownScreen,SAMSUNG SM-J700M Build/MMB29K,nan,samsung browser 6.2,nan,mobile
SM-G935F Build/NRD90M | UnknownOS | chrome 62.0 for android | UnknownScreen,SM-G935F Build/NRD90M,nan,chrome 62.0 for android,nan,mobile
Windows | Windows Vista | firefox 52.0 | 1280x800,Windows,Windows Vista,firefox 52.0,1280x800,desktop
SM-G531H Build/LMY48B | UnknownOS | chrome 62.0 for android | UnknownScreen,SM-G531H Build/LMY48B,nan,chrome 62.0 for android,nan,mobile
Moto C Build/NRD90M.063 | UnknownOS | chrome 62.0 for android | UnknownScreen,Moto C Build/NRD90M.063,nan,chrome 62.0 for android,nan,mobile
MacOS | Mac OS X 10_13_1 | chrome 62.0 | 5120x2880,MacOS,Mac OS X 10_13_1,chrome 62.0,5120x2880,desktop
Windows | Windows 7 | chrome 62.0 | 1366x768,Windows,Windows 7,chrome 62.0,1366x768,desktop
Windows | Windows 8.1 | chrome 62.0 | 1366x768,Windows,Windows 8.1,chrome 62.0,1366x768,desktop
LG-D693n Build/LRX22G | UnknownOS | chrome 60.0 for android | UnknownScreen,LG-D693n Build/LRX22G,nan,chrome 60.0 for android,nan,mobile
HUAWEI RIO-L03 Build/HUAWEIRIO-L03 | UnknownOS | chrome 62.0 for android | UnknownScreen,HUAWEI RIO-L03 Build/HUAWEIRIO-L03,nan,chrome 62.0 for android,nan,mobile
SAMSUNG SM-N910A Build/MMB29M | Android 6.0.1 | samsung browser 6.2 | 2560x1440,SAMSUNG SM-N910A Build/MMB29M,Android 6.0.1,samsung browser 6.2,2560x1440,mobile
SM-G532M Build/MMB29T | UnknownOS | chrome 60.0 for android | UnknownScreen,SM-G532M Build/MMB29T,nan,chrome 60.0 for android,nan,mobile
Windows | Windows 7 | firefox 57.0 | 1366x768,Windows,Windows 7,firefox 57.0,1366x768,desktop
iOS Device | iOS 11.2.0 | mobile safari 11.0 | 1334x750,iOS Device,iOS 11.2.0,mobile safari 11.0,1334x750,mobile
LG-D331 Build/LRX22G | UnknownOS | chrome 60.0 for android | UnknownScreen,LG-D331 Build/LRX22G,nan,chrome 60.0 for android,nan,mobile
Windows | Windows 10 | edge 15.0 | 1920x1080,Windows,Windows 10,edge 15.0,1920x1080,desktop
Windows | Windows 8 | chrome 62.0 | UnknownScreen,Windows,Windows 8,chrome 62.0,nan,desktop
Windows | Windows 8.1 | chrome 62.0 | 1920x1080,Windows,Windows 8.1,chrome 62.0,1920x1080,desktop
LG-H500 Build/LRX21Y | UnknownOS | chrome 59.0 for android | UnknownScreen,LG-H500 Build/LRX21Y,nan,chrome 59.0 for android,nan,mobile
UnknownDevice | UnknownOS | chrome 61.0 | UnknownScreen,nan,nan,chrome 61.0,nan,desktop
SM-A510M Build/NRD90M | UnknownOS | chrome 62.0 for android | UnknownScreen,SM-A510M Build/NRD90M,nan,chrome 62.0 for android,nan,mobile
Blade V6 Max Build/MRA58K | UnknownOS | chrome 62.0 for android | UnknownScreen,Blade V6 Max Build/MRA58K,nan,chrome 62.0 for android,nan,mobile
iOS Device | iOS 10.3.3 | mobile safari 10.0 | 1334x750,iOS Device,iOS 10.3.3,mobile safari 10.0,1334x750,mobile
iOS Device | iOS 11.1.2 | mobile safari 11.0 | 2224x1668,iOS Device,iOS 11.1.2,mobile safari 11.0,2224x1668,mobile
Windows | Windows 8.1 | chrome 62.0 | 1600x900,Windows,Windows 8.1,chrome 62.0,1600x900,desktop
MotoG3 Build/MPIS24.65-33.1-2-16 | UnknownOS | chrome 62.0 for android | UnknownScreen,MotoG3 Build/MPIS24.65-33.1-2-16,nan,chrome 62.0 for android,nan,mobile
Windows | Windows 10 | firefox 57.0 | 1600x900,Windows,Windows 10,firefox 57.0,1600x900,desktop
iOS Device | iOS 11.1.1 | mobile safari 11.0 | 1334x750,iOS Device,iOS 11.1.1,mobile safari 11.0,1334x750,mobile
Trident/7.0 | Windows 10 | ie 11.0 for desktop | UnknownScreen,Trident/7.0,Windows 10,ie 11.0 for desktop,nan,desktop
UnknownDevice | UnknownOS | safari generic | UnknownScreen,nan,nan,safari generic,nan,desktop
MotoG3-TE | UnknownOS | chrome 62.0 for android | UnknownScreen,MotoG3-TE,nan,chrome 62.0 for android,nan,mobile
UnknownDevice | UnknownOS | mobile safari 9.0 | UnknownScreen,nan,nan,mobile safari 9.0,nan,mobile
Hisense F20 Build/MMB29M | UnknownOS | chrome 62.0 for android | UnknownScreen,Hisense F20 Build/MMB29M,nan,chrome 62.0 for android,nan,mobile
SM-G532M Build/MMB29T | UnknownOS | Samsung/SM-G532M | UnknownScreen,SM-G532M Build/MMB29T,nan,Samsung/SM-G532M,nan,mobile
SM-A710M Build/LMY47X | UnknownOS | chrome 60.0 for android | UnknownScreen,SM-A710M Build/LMY47X,nan,chrome 60.0 for android,nan,mobile
iOS Device | iOS 11.0.1 | mobile safari 11.0 | 2048x1536,iOS Device,iOS 11.0.1,mobile safari 11.0,2048x1536,mobile
LG-H320 Build/LRX21Y | UnknownOS | chrome 51.0 for android | UnknownScreen,LG-H320 Build/LRX21Y,nan,chrome 51.0 for android,nan,mobile
SM-G550T Build/MMB29K | Android 6.0.1 | chrome 59.0 for android | 1280x720,SM-G550T Build/MMB29K,Android 6.0.1,chrome 59.0 for android,1280x720,mobile
Windows | Windows 10 | chrome 62.0 | 1600x900,Windows,Windows 10,chrome 62.0,1600x900,desktop
SM-G530H Build/LRX22G | UnknownOS | chrome 62.0 for android | UnknownScreen,SM-G530H Build/LRX22G,nan,chrome 62.0 for android,nan,mobile
SAMSUNG SM-T810 Build/NRD90M | UnknownOS | samsung browser 6.2 | UnknownScreen,SAMSUNG SM-T810 Build/NRD90M,nan,samsung browser 6.2,nan,mobile
HUAWEI TAG-L13 Build/HUAWEITAG-L13 | UnknownOS | chrome 62.0 for android | UnknownScreen,HUAWEI TAG-L13 Build/HUAWEITAG-L13,nan,chrome 62.0 for android,nan,mobile
GT-I9060M Build/KTU84P | UnknownOS | chrome 60.0 for android | UnknownScreen,GT-I9060M Build/KTU84P,nan,chrome 60.0 for android,nan,mobile
ALE-L23 Build/HuaweiALE-L23 | UnknownOS | chrome 62.0 for android | UnknownScreen,ALE-L23 Build/HuaweiALE-L23,nan,chrome 62.0 for android,nan,mobile
SM-G570M Build/MMB29K | UnknownOS | chrome 62.0 for android | UnknownScreen,SM-G570M Build/MMB29K,nan,chrome 62.0 for android,nan,mobile
iOS Device | iOS 11.0.3 | mobile safari 11.0 | 2001x1125,iOS Device,iOS 11.0.3,mobile safari 11.0,2001x1125,mobile
SM-J200M Build/LMY47X | UnknownOS | chrome 62.0 for android | UnknownScreen,SM-J200M Build/LMY47X,nan,chrome 62.0 for android,nan,mobile
BLADE V8 SE Build/NRD90M | UnknownOS | chrome 62.0 for android | UnknownScreen,BLADE V8 SE Build/NRD90M,nan,chrome 62.0 for android,nan,mobile
LG-H542 Build/MRA58K | UnknownOS | chrome 52.0 for android | UnknownScreen,LG-H542 Build/MRA58K,nan,chrome 52.0 for android,nan,mobile
iOS Device | iOS 11.1.2 | mobile safari generic | 1334x750,iOS Device,iOS 11.1.2,mobile safari generic,1334x750,mobile
Windows | Windows 10 | edge 15.0 | 1366x768,Windows,Windows 10,edge 15.0,1366x768,desktop
SM-P350 Build/MMB29M | UnknownOS | chrome 62.0 for android | UnknownScreen,SM-P350 Build/MMB29M,nan,chrome 62.0 for android,nan,mobile
UnknownDevice | UnknownOS | chrome 51.0 | UnknownScreen,nan,nan,chrome 51.0,nan,desktop
HTC Desire 650 Build/MMB29M | UnknownOS | chrome 60.0 for android | UnknownScreen,HTC Desire 650 Build/MMB29M,nan,chrome 60.0 for android,nan,mobile
Pixel Build/OPR3.170623.013 | Android 8.0.0 | UnknownBrowser | UnknownScreen,Pixel Build/OPR3.170623.013,Android 8.0.0,nan,nan,mobile
Windows | Windows 10 | chrome 62.0 | 1280x800,Windows,Windows 10,chrome 62.0,1280x800,desktop
SM-J710MN Build/MMB29K | UnknownOS | chrome 62.0 for android | UnknownScreen,SM-J710MN Build/MMB29K,nan,chrome 62.0 for android,nan,mobile
SM-J120H Build/LMY47V | UnknownOS | chrome 61.0 for android | UnknownScreen,SM-J120H Build/LMY47V,nan,chrome 61.0 for android,nan,mobile
MacOS | Mac OS X 10_12_6 | safari generic | 1440x900,MacOS,Mac OS X 10_12_6,safari generic,1440x900,desktop
MacOS | Mac OS X 10_12_4 | safari generic | 3360x2100,MacOS,Mac OS X 10_12_4,safari generic,3360x2100,desktop
SM-J510MN Build/MMB29M | UnknownOS | chrome 61.0 for android | UnknownScreen,SM-J510MN Build/MMB29M,nan,chrome 61.0 for android,nan,mobile
Windows | UnknownOS | edge 16.0 | UnknownScreen,Windows,nan,edge 16.0,nan,desktop
SAMSUNG SM-G950U Build/NRD90M | Android 7.0 | samsung browser 6.2 | 2220x1080,SAMSUNG SM-G950U Build/NRD90M,Android 7.0,samsung browser 6.2,2220x1080,mobile
rv:57.0 | UnknownOS | firefox 57.0 | UnknownScreen,rv:57.0,nan,firefox 57.0,nan,desktop
Moto G (5) Plus Build/NPNS25.137-15-11 | UnknownOS | chrome generic | UnknownScreen,Moto G (5) Plus Build/NPNS25.137-15-11,nan,chrome generic,nan,mobile
MacOS | Mac OS X 10_12_6 | chrome 61.0 | 2880x1800,MacOS,Mac OS X 10_12_6,chrome 61.0,2880x1800,desktop
SM-G925I Build/LMY47X | UnknownOS | chrome 62.0 for android | UnknownScreen,SM-G925I Build/LMY47X,nan,chrome 62.0 for android,nan,mobile
Lenovo K33b36 Build/NRD90N | UnknownOS | chrome 62.0 for android | UnknownScreen,Lenovo K33b36 Build/NRD90N,nan,chrome 62.0 for android,nan,mobile
UnknownDevice | Android | chrome 61.0 | 1366x768,nan,Android,chrome 61.0,1366x768,mobile
SM-J320M Build/LMY47V | UnknownOS | chrome 62.0 for android | UnknownScreen,SM-J320M Build/LMY47V,nan,chrome 62.0 for android,nan,mobile
SM-G930U Build/NRD90M | UnknownOS | chrome 62.0 for android | UnknownScreen,SM-G930U Build/NRD90M,nan,chrome 62.0 for android,nan,mobile
CAM-L03 Build/HUAWEICAM-L03 | UnknownOS | chrome 62.0 for android | UnknownScreen,CAM-L03 Build/HUAWEICAM-L03,nan,chrome 62.0 for android,nan,mobile
Moto Z2 Play Build/NPS26.118-19 | UnknownOS | chrome 62.0 for android | UnknownScreen,Moto Z2 Play Build/NPS26.118-19,nan,chrome 62.0 for android,nan,mobile
MacOS | Mac OS X 10_10_5 | safari generic | 1280x800,MacOS,Mac OS X 10_10_5,safari generic,1280x800,desktop
Windows | Windows 7 | chrome 61.0 | 1920x1080,Windows,Windows 7,chrome 61.0,1920x1080,desktop
Ilium LT500 Build/LMY47O | UnknownOS | chrome 60.0 for android | UnknownScreen,Ilium LT500 Build/LMY47O,nan,chrome 60.0 for android,nan,mobile
MacOS | Mac OS X 10_11_6 | safari generic | 1280x800,MacOS,Mac OS X 10_11_6,safari generic,1280x800,desktop
Y635-L03 Build/HuaweiY635-L03 | UnknownOS | chrome 62.0 for android | UnknownScreen,Y635-L03 Build/HuaweiY635-L03,nan,chrome 62.0 for android,nan,mobile
Windows | Windows 7 | chrome 62.0 | 1680x1050,Windows,Windows 7,chrome 62.0,1680x1050,desktop
HUAWEI VNS-L23 Build/HUAWEIVNS-L23 | UnknownOS | chrome 62.0 for android | UnknownScreen,HUAWEI VNS-L23 Build/HUAWEIVNS-L23,nan,chrome 62.0 for android,nan,mobile
MacOS | Mac OS X 10_11_6 | chrome 62.0 | 1440x900,MacOS,Mac OS X 10_11_6,chrome 62.0,1440x900,desktop
Windows | Windows 10 | firefox 57.0 | 1280x1024,Windows,Windows 10,firefox 57.0,1280x1024,desktop
HTC Desire 626s Build/LMY47O | UnknownOS | chrome 61.0 for android | UnknownScreen,HTC Desire 626s Build/LMY47O,nan,chrome 61.0 for android,nan,mobile
SM-J510MN Build/MMB29M | UnknownOS | chrome 60.0 for android | UnknownScreen,SM-J510MN Build/MMB29M,nan,chrome 60.0 for android,nan,mobile
MacOS | Mac OS X 10_12_6 | chrome 62.0 | 1440x900,MacOS,Mac OS X 10_12_6,chrome 62.0,1440x900,desktop
LG-H500 Build/LRX21Y | UnknownOS | chrome 61.0 for android | UnknownScreen,LG-H500 Build/LRX21Y,nan,chrome 61.0 for android,nan,mobile
Windows | Windows 10 | chrome 62.0 | 1440x900,Windows,Windows 10,chrome 62.0,1440x900,desktop
SM-A720F Build/MMB29K | UnknownOS | chrome 62.0 for android | UnknownScreen,SM-A720F Build/MMB29K,nan,chrome 62.0 for android,nan,mobile
MacOS | Mac OS X 10_11_6 | safari generic | 1440x900,MacOS,Mac OS X 10_11_6,safari generic,1440x900,desktop
Trident/7.0 | Windows 7 | ie 11.0 for desktop | 1920x1080,Trident/7.0,Windows 7,ie 11.0 for desktop,1920x1080,desktop
iOS Device | iOS 11.2.0 | mobile safari 11.0 | 2208x1242,iOS Device,iOS 11.2.0,mobile safari 11.0,2208x1242,mobile
Windows | Windows 10 | chrome 62.0 | 1280x1024,Windows,Windows 10,chrome 62.0,1280x1024,desktop
rv:11.0 | UnknownOS | ie 11.0 for desktop | UnknownScreen,rv:11.0,nan,ie 11.0 for desktop,nan,desktop
iOS Device | iOS 10.3.3 | mobile safari 10.0 | 2048x1536,iOS Device,iOS 10.3.3,mobile safari 10.0,2048x1536,mobile
rv:11.0 | Windows 7 | ie 11.0 for desktop | 1600x900,rv:11.0,Windows 7,ie 11.0 for desktop,1600x900,desktop
XT1064 Build/MPB24.65-34-3 | UnknownOS | chrome 62.0 for android | UnknownScreen,XT1064 Build/MPB24.65-34-3,nan,chrome 62.0 for android,nan,mobile
Windows | Windows 10 | chrome 62.0 | 2160x1440,Windows,Windows 10,chrome 62.0,2160x1440,desktop
Windows | Windows 7 | ie 11.0 for desktop | UnknownScreen,Windows,Windows 7,ie 11.0 for desktop,nan,desktop
Trident/7.0 | Windows 7 | ie 11.0 for desktop | 1280x1024,Trident/7.0,Windows 7,ie 11.0 for desktop,1280x1024,desktop
iOS Device | iOS 11.1.2 | mobile safari 11.0 | 2048x1536,iOS Device,iOS 11.1.2,mobile safari 11.0,2048x1536,mobile
rv:57.0 | UnknownOS | firefox | UnknownScreen,rv:57.0,nan,firefox,nan,desktop
D5803 Build/23.5.A.1.291 | UnknownOS | chrome 62.0 for android | UnknownScreen,D5803 Build/23.5.A.1.291,nan,chrome 62.0 for android,nan,mobile
GT-I8190L Build/JZO54K | UnknownOS | chrome 59.0 for android | UnknownScreen,GT-I8190L Build/JZO54K,nan,chrome 59.0 for android,nan,mobile
Z981 Build/MMB29M | Android 6.0.1 | chrome 62.0 for android | 1920x1080,Z981 Build/MMB29M,Android 6.0.1,chrome 62.0 for android,1920x1080,mobile
SM-G900V | UnknownOS | chrome 62.0 for android | UnknownScreen,SM-G900V,nan,chrome 62.0 for android,nan,mobile
ZEIA8 | UnknownOS | chrome 62.0 for android | UnknownScreen,ZEIA8,nan,chrome 62.0 for android,nan,mobile
Windows | Windows 10 | chrome 62.0 | 1152x864,Windows,Windows 10,chrome 62.0,1152x864,desktop
SM-N920P Build/NRD90M | Android 7.0 | chrome 62.0 for android | UnknownScreen,SM-N920P Build/NRD90M,Android 7.0,chrome 62.0 for android,nan,mobile
iOS Device | iOS 11.0.3 | mobile safari 11.0 | 2208x1242,iOS Device,iOS 11.0.3,mobile safari 11.0,2208x1242,mobile
SM-N910H | UnknownOS | chrome 62.0 for android | UnknownScreen,SM-N910H,nan,chrome 62.0 for android,nan,mobile
iOS Device | iOS 11.1.2 | mobile safari generic | 2208x1242,iOS Device,iOS 11.1.2,mobile safari generic,2208x1242,mobile
iOS Device | iOS 9.3.5 | mobile safari 9.0 | 1024x768,iOS Device,iOS 9.3.5,mobile safari 9.0,1024x768,mobile
LG-H840 Build/NRD90U | UnknownOS | chrome 62.0 for android | UnknownScreen,LG-H840 Build/NRD90U,nan,chrome 62.0 for android,nan,mobile
UnknownDevice | UnknownOS | chrome 58.0 | UnknownScreen,nan,nan,chrome 58.0,nan,desktop
SM-P600 Build/LMY47X | UnknownOS | chrome 62.0 for android | UnknownScreen,SM-P600 Build/LMY47X,nan,chrome 62.0 for android,nan,mobile
HTC U11 Build/NMF26X | UnknownOS | chrome 62.0 for android | UnknownScreen,HTC U11 Build/NMF26X,nan,chrome 62.0 for android,nan,mobile
Trident/7.0 | Windows 10 | ie 11.0 for tablet | 1920x1080,Trident/7.0,Windows 10,ie 11.0 for tablet,1920x1080,desktop
Ilium L910 Build/MRA58K | UnknownOS | chrome 62.0 for android | UnknownScreen,Ilium L910 Build/MRA58K,nan,chrome 62.0 for android,nan,mobile
rv:41.0 | UnknownOS | firefox | UnknownScreen,rv:41.0,nan,firefox,nan,desktop
SAMSUNG | Android | Samsung/SCH | 1920x1080,SAMSUNG,Android,Samsung/SCH,1920x1080,mobile
