case_id,customer_id,card_id,opened_at,closed_at,outcome,pattern,first_fraud_txn_id,txn_ids,n_txns,exposure_usd,connected_card_ids,actions_taken,report_filed,analyst_notes
CC-0011,C13259,C13259-K1,2016-07-03 07:46:35,2016-07-06 16:46:35,confirmed_fraud,card_not_present_new_device,3000989.0,3000989,1,149.95,,CREATE_CASE|BLOCK_CARD,No,"Case CC-0011: cardholder C13259 reported unrecognized activity on card C13259-K1. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $149.95 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Online transactions came from a SM-G550T Build/MMB29K on chrome 59.0 for android. Card blocked and reissued. Customer reimbursed."
CC-0018,C06800,C06800-K1,2016-07-03 19:37:07,2016-07-04 20:37:07,confirmed_fraud,card_not_present_new_device,3001565.0,3001565,1,150.07,,CREATE_CASE|BLOCK_CARD,No,"Case CC-0018: cardholder C06800 reported unrecognized activity on card C06800-K1. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $150.07 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Online transactions came from a iOS Device on mobile safari 11.0. Card blocked and reissued. Customer reimbursed."
CC-0019,C06208,C06208-K1,2016-07-03 21:52:10,2016-07-05 01:52:10,confirmed_fraud,card_not_present_new_device,3002476.0,3002476,1,225.09,,CREATE_CASE|BLOCK_CARD,No,"Case CC-0019: cardholder C06208 reported unrecognized activity on card C06208-K1. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $225.09 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Online transactions came from a rv:52.0 on firefox. Card blocked and reissued. Customer reimbursed."
CC-0029,C03277,C03277-K1,2016-07-04 00:43:03,2016-07-06 00:43:03,confirmed_fraud,card_not_present_new_device,3000150.0,3000150|3002210|3002242,3,600.08,,CREATE_CASE|BLOCK_CARD,No,"Case CC-0029: cardholder C03277 reported unrecognized activity on card C03277-K1. 3 transaction(s) between 2016-07-02 and 2016-07-03 totaling $600.08 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Online transactions came from a MacOS on safari generic. Card blocked and reissued. Customer reimbursed."
CC-0031,C11923,C11923-K2,2016-07-04 01:23:36,2016-07-07 22:23:36,confirmed_fraud,card_not_present_new_device,3001820.0,3001820,1,20.36,,CREATE_CASE|BLOCK_CARD,No,"Case CC-0031: cardholder C11923 reported unrecognized activity on card C11923-K2. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $20.36 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Online transactions came from a Trident/7.0 on ie 11.0 for desktop. Card blocked and reissued. Customer reimbursed."
CC-0137,C12982,C12982-K1,2016-07-06 09:33:41,2016-07-11 03:33:41,confirmed_fraud,card_testing,3000196.0,3000196|3003954|3009763|3009897|3009912,5,402.43,,CREATE_CASE|BLOCK_CARD,No,"Case CC-0137: cardholder C12982 reported unrecognized activity on card C12982-K1. 5 transaction(s) between 2016-07-02 and 2016-07-05 totaling $402.43 were confirmed fraudulent. A run of very small online authorizations followed by a larger purchase, consistent with testing a stolen card number before use. Online transactions came from a Windows on chrome 61.0. Card blocked and reissued. Customer reimbursed."
CC-0290,C11923,C11923-K2,2016-07-09 19:59:09,2016-07-10 23:59:09,confirmed_fraud,card_testing,3009374.0,3009374|3011289|3015408|3015422|3017329|3020058|3022349|3023880,8,144.56,,CREATE_CASE|BLOCK_CARD,No,"Case CC-0290: cardholder C11923 reported unrecognized activity on card C11923-K2. 8 transaction(s) between 2016-07-05 and 2016-07-08 totaling $144.56 were confirmed fraudulent. A run of very small online authorizations followed by a larger purchase, consistent with testing a stolen card number before use. Card blocked and reissued. Customer reimbursed."
CC-0370,C12982,C12982-K1,2016-07-11 08:50:59,2016-07-16 20:50:59,confirmed_fraud,card_testing,3030014.0,3030014|3030042|3030311|3030361|3030371|3030384|3030528|3030537|3030620|3030625,10,426.72,,CREATE_CASE|BLOCK_CARD,No,"Case CC-0370: cardholder C12982 reported unrecognized activity on card C12982-K1. 10 transaction(s) between 2016-07-10 and 2016-07-10 totaling $426.72 were confirmed fraudulent. A run of very small online authorizations followed by a larger purchase, consistent with testing a stolen card number before use. Card blocked and reissued. Customer reimbursed."
CC-1235,C08962,C08962-K2,2016-07-26 19:03:45,2016-07-29 23:03:45,confirmed_fraud,card_testing,3046235.0,3046235|3053612|3057241|3060578|3060629|3063441|3064369|3066309|3066657|3066684|3066895|3069530|3076657|3082128|3083865|3084416|3087013|3091307|3093024|3094046|3103530,21,1030.15,,CREATE_CASE|BLOCK_CARD|FILE_REPORT,Yes,"Case CC-1235: cardholder C08962 reported unrecognized activity on card C08962-K2. 21 transaction(s) between 2016-07-14 and 2016-07-25 totaling $1,030.15 were confirmed fraudulent. A run of very small online authorizations followed by a larger purchase, consistent with testing a stolen card number before use. Online transactions came from a Windows on chrome 63.0. Card blocked and reissued. Customer reimbursed."
CC-1242,C11847,C11847-K2,2016-07-26 22:21:17,2016-07-29 15:21:17,confirmed_fraud,card_testing,3033677.0,3033677|3033785|3036775|3039436|3043166|3046099|3047589|3049742|3057355|3063616|3068270|3069837|3075684|3076404|3080155|3082312|3084283|3084536|3088503|3091496|3091549|3093354|3093365|3093681|3099623|3100354|3102060|3102279|3102787|3105131|3106022,31,1421.21,,CREATE_CASE|BLOCK_CARD|FILE_REPORT,Yes,"Case CC-1242: cardholder C11847 reported unrecognized activity on card C11847-K2. 31 transaction(s) between 2016-07-11 and 2016-07-26 totaling $1,421.21 were confirmed fraudulent. A run of very small online authorizations followed by a larger purchase, consistent with testing a stolen card number before use. Online transactions came from a Windows on chrome 63.0. Card blocked and reissued. Customer reimbursed."
CC-0003,C05876,C05876-K2,2016-07-02 16:34:01,2016-07-05 13:34:01,cleared,none,,3000607,1,0.0,,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No,Case CC-0003: model scored a $442.92 transaction at 0.91. Cardholder confirmed travel to the billing region in question. Alert cleared.
CC-0009,C10112,C10112-K1,2016-07-03 05:55:45,2016-07-06 01:55:45,cleared,none,,3002486,1,0.0,,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No,Case CC-0009: model scored a $149.98 transaction at 0.84. Cardholder confirmed the purchase from a new phone. Device added to profile. Alert cleared.
CC-0010,C03246,C03246-K1,2016-07-03 07:04:50,2016-07-04 04:04:50,cleared,none,,3002792,1,0.0,,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No,Case CC-0010: model scored a $96.95 transaction at 0.83. Cardholder confirmed the purchase from a new phone. Device added to profile. Alert cleared.
CC-0015,C04597,C04597-K2,2016-07-03 11:43:21,2016-07-05 03:43:21,cleared,none,,3002758,1,0.0,,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No,Case CC-0015: model scored a $93.80 transaction at 0.92. Cardholder confirmed the purchase from a new phone. Device added to profile. Alert cleared.
CC-0017,C03651,C03651-K2,2016-07-03 18:52:00,2016-07-04 12:52:00,cleared,none,,3003172,1,0.0,,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No,Case CC-0017: model scored a $149.97 transaction at 0.88. Cardholder confirmed the purchase from a new phone. Device added to profile. Alert cleared.
CC-0002,C06403,C06403-K2,2016-07-02 08:51:57,2016-07-04 05:51:57,confirmed_fraud,out_of_region_use,3000332.0,3000332,1,117.05,,CREATE_CASE|BLOCK_CARD,No,"Case CC-0002: cardholder C06403 reported unrecognized activity on card C06403-K2. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $117.05 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-0004,C13440,C13440-K2,2016-07-02 20:05:35,2016-07-05 17:05:35,confirmed_fraud,out_of_region_use,3000906.0,3000906|3001040,2,857.92,,CREATE_CASE|BLOCK_CARD,No,"Case CC-0004: cardholder C13440 reported unrecognized activity on card C13440-K2. 2 transaction(s) between 2016-07-02 and 2016-07-02 totaling $857.92 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-0005,C08945,C08945-K2,2016-07-02 21:10:20,2016-07-04 02:10:20,confirmed_fraud,out_of_region_use,3000183.0,3000183,1,39.92,,CREATE_CASE|BLOCK_CARD,No,"Case CC-0005: cardholder C08945 reported unrecognized activity on card C08945-K2. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $39.92 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-0006,C11227,C11227-K2,2016-07-02 21:21:35,2016-07-08 18:21:35,confirmed_fraud,out_of_region_use,3001230.0,3001230,1,265.07,,CREATE_CASE|BLOCK_CARD,No,"Case CC-0006: cardholder C11227 reported unrecognized activity on card C11227-K2. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $265.07 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-0016,C03575,C03575-K2,2016-07-03 18:31:19,2016-07-04 22:31:19,confirmed_fraud,out_of_region_use,3001839.0,3001839,1,68.46,,CREATE_CASE|BLOCK_CARD,No,"Case CC-0016: cardholder C03575 reported unrecognized activity on card C03575-K2. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $68.46 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-2649,C03528,C03528-K1,2016-08-27 04:53:00,2016-08-31 12:53:00,confirmed_fraud,undocumented,3207726.0,3207726|3193380|3183118,3,390.04,C00255-K1|C01935-K1|C03551-K2|C03744-K1|C04311-K1|C06197-K2|C06617-K1|C07485-K1|C07762-K1|C08112-K2|C09174-K1|C09354-K1|C09733-K1|C09998-K1|C10350-K1|C10955-K2|C11468-K2|C11687-K2|C12033-K1|C12132-K2|C12395-K2|C12574-K1|C12900-K2,CREATE_CASE|BLOCK_CARD|FILE_REPORT,Yes,"Case CC-2649: cardholder C03528 reported 3 online purchase(s) they did not make. The purchases came from a Samsung SM-G935F on Chrome for Android behind an anonymous proxy, a device never seen on this account. Two other cardholders reported the same device profile this month. Pattern not matched to a documented typology. Card blocked and reissued."
CC-2971,C09998,C09998-K1,2016-09-03 03:25:00,2016-09-05 19:25:00,confirmed_fraud,undocumented,3207649.0,3207649|3229520,2,108.36,C00255-K1|C01935-K1|C03528-K1|C03551-K2|C03744-K1|C04311-K1|C06197-K2|C06617-K1|C07485-K1|C07762-K1|C08112-K2|C09174-K1|C09354-K1|C09733-K1|C10350-K1|C10955-K2|C11468-K2|C11687-K2|C12033-K1|C12132-K2|C12395-K2|C12574-K1|C12900-K2,CREATE_CASE|BLOCK_CARD|FILE_REPORT,Yes,"Case CC-2971: cardholder C09998 reported 2 online purchase(s) they did not make. The purchases came from a Samsung SM-G935F on Chrome for Android behind an anonymous proxy, a device never seen on this account. Two other cardholders reported the same device profile this month. Pattern not matched to a documented typology. Card blocked and reissued."
CC-2985,C06617,C06617-K1,2016-09-03 10:20:00,2016-09-09 08:20:00,confirmed_fraud,undocumented,3181760.0,3181760|3231674|3183441,3,381.4,C00255-K1|C01935-K1|C03528-K1|C03551-K2|C03744-K1|C04311-K1|C06197-K2|C07485-K1|C07762-K1|C08112-K2|C09174-K1|C09354-K1|C09733-K1|C09998-K1|C10350-K1|C10955-K2|C11468-K2|C11687-K2|C12033-K1|C12132-K2|C12395-K2|C12574-K1|C12900-K2,CREATE_CASE|BLOCK_CARD|FILE_REPORT,Yes,"Case CC-2985: cardholder C06617 reported 3 online purchase(s) they did not make. The purchases came from a Samsung SM-G935F on Chrome for Android behind an anonymous proxy, a device never seen on this account. Two other cardholders reported the same device profile this month. Pattern not matched to a documented typology. Card blocked and reissued."
CC-3035,C09733,C09733-K1,2016-09-04 12:44:00,2016-09-09 22:44:00,confirmed_fraud,undocumented,3233612.0,3233612|3233968,2,140.95,C00255-K1|C01935-K1|C03528-K1|C03551-K2|C03744-K1|C04311-K1|C06197-K2|C06617-K1|C07485-K1|C07762-K1|C08112-K2|C09174-K1|C09354-K1|C09998-K1|C10350-K1|C10955-K2|C11468-K2|C11687-K2|C12033-K1|C12132-K2|C12395-K2|C12574-K1|C12900-K2,CREATE_CASE|BLOCK_CARD|FILE_REPORT,Yes,"Case CC-3035: cardholder C09733 reported 2 online purchase(s) they did not make. The purchases came from a Samsung SM-G935F on Chrome for Android behind an anonymous proxy, a device never seen on this account. Two other cardholders reported the same device profile this month. Pattern not matched to a documented typology. Card blocked and reissued."
CC-3748,C12267,C12267-K2,2016-09-20 20:27:00,2016-09-26 15:27:00,confirmed_fraud,undocumented,3284089.0,3284089|3284119|3284143|3284161,4,1905.21,,CREATE_CASE|BLOCK_CARD|FILE_REPORT,Yes,"Case CC-3748: cardholder C12267 reported four online purchases within forty minutes, each just under $500, none of which they made. Amounts appear chosen to stay under a $500 authorization threshold. Pattern not matched to a documented typology. Card blocked and reissued."
CC-0056,C13171,C13171-K2,2016-07-04 18:17:38,2016-07-06 15:17:38,confirmed_fraud,card_not_present_new_device,3003521.0,3003521,1,40.21,,CREATE_CASE|BLOCK_CARD,No,"Case CC-0056: cardholder C13171 reported unrecognized activity on card C13171-K2. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $40.21 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Card blocked and reissued. Customer reimbursed."
CC-0104,C09933,C09933-K2,2016-07-05 15:32:11,2016-07-08 15:32:11,confirmed_fraud,out_of_region_use,3007244.0,3007244,1,92.02,,CREATE_CASE|BLOCK_CARD,No,"Case CC-0104: cardholder C09933 reported unrecognized activity on card C09933-K2. 1 transaction(s) between 2016-07-04 and 2016-07-04 totaling $92.02 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-0255,C02354,C02354-K2,2016-07-09 00:09:53,2016-07-12 18:09:53,confirmed_fraud,account_takeover,3014915.0,3014915|3014994|3018610|3019093|3019154|3019614|3022316,7,1167.08,,CREATE_CASE|BLOCK_CARD|FILE_REPORT,Yes,"Case CC-0255: cardholder C02354 reported unrecognized activity on card C02354-K2. 7 transaction(s) between 2016-07-06 and 2016-07-08 totaling $1,167.08 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Online transactions came from a iOS Device on mobile safari 10.0. Card blocked and reissued. Customer reimbursed."
CC-0405,C02354,C02354-K2,2016-07-12 06:45:36,2016-07-14 22:45:36,cleared,none,,3035077,1,0.0,,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No,Case CC-0405: model scored a $22.30 transaction at 0.94. Cardholder confirmed travel to the billing region in question. Alert cleared.
CC-0454,C02354,C02354-K2,2016-07-13 16:11:34,2016-07-18 04:11:34,confirmed_fraud,account_takeover,3039150.0,3039150|3039253|3039469|3039781|3039789|3040275,6,940.94,,CREATE_CASE|BLOCK_CARD,No,Case CC-0454: cardholder C02354 reported unrecognized activity on card C02354-K2. 6 transaction(s) between 2016-07-12 and 2016-07-13 totaling $940.94 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Online transactions came from a iOS Device on mobile safari 11.0. Card blocked and reissued. Customer reimbursed.
CC-0467,C13171,C13171-K2,2016-07-13 20:52:43,2016-07-14 15:52:43,confirmed_fraud,card_not_present_new_device,3012791.0,3012791|3012922|3018737|3024961|3025566|3025610|3031872|3037062,8,649.77,,CREATE_CASE|BLOCK_CARD,No,"Case CC-0467: cardholder C13171 reported unrecognized activity on card C13171-K2. 8 transaction(s) between 2016-07-06 and 2016-07-12 totaling $649.77 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Online transactions came from a ZEIA8 on chrome 62.0 for android. Card blocked and reissued. Customer reimbursed."
CC-0615,C03042,C03042-K1,2016-07-16 19:03:49,2016-07-21 00:03:49,confirmed_fraud,card_not_present_new_device,3051990.0,3051990,1,174.99,,CREATE_CASE|BLOCK_CARD,No,"Case CC-0615: cardholder C03042 reported unrecognized activity on card C03042-K1. 1 transaction(s) between 2016-07-16 and 2016-07-16 totaling $174.99 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Online transactions came from a iOS Device on mobile safari 11.0. Card blocked and reissued. Customer reimbursed."
CC-0631,C02354,C02354-K2,2016-07-16 23:16:38,2016-07-22 03:16:38,confirmed_fraud,out_of_region_use,3052607.0,3052607|3052737,2,118.17,,CREATE_CASE|BLOCK_CARD,No,"Case CC-0631: cardholder C02354 reported unrecognized activity on card C02354-K2. 2 transaction(s) between 2016-07-16 and 2016-07-16 totaling $118.17 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-0657,C09933,C09933-K2,2016-07-17 08:58:08,2016-07-20 02:58:08,cleared,none,,3056929,1,0.0,,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No,"Case CC-0657: model scored a $1,769.94 transaction at 0.90. Cardholder confirmed the purchase. Amount unusual for this customer but consistent with their stated intent. Alert cleared."
CC-0696,C08106,C08106-K1,2016-07-18 05:30:15,2016-07-19 00:30:15,cleared,none,,3060995,1,0.0,,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No,Case CC-0696: model scored a $13.68 transaction at 0.83. Cardholder confirmed travel to the billing region in question. Alert cleared.
CC-0765,C09933,C09933-K2,2016-07-19 14:13:43,2016-07-24 19:13:43,confirmed_fraud,out_of_region_use,3035514.0,3035514|3037820|3041471|3046450|3051040|3055339|3055384|3055413|3058830|3059799|3059825|3063989|3063997,13,1664.54,,CREATE_CASE|BLOCK_CARD|FILE_REPORT,Yes,"Case CC-0765: cardholder C09933 reported unrecognized activity on card C09933-K2. 13 transaction(s) between 2016-07-12 and 2016-07-18 totaling $1,664.54 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-0772,C13171,C13171-K2,2016-07-19 16:55:19,2016-07-23 11:55:19,confirmed_fraud,card_not_present_new_device,3050677.0,3050677|3059117|3067027,3,183.27,,CREATE_CASE|BLOCK_CARD,No,"Case CC-0772: cardholder C13171 reported unrecognized activity on card C13171-K2. 3 transaction(s) between 2016-07-15 and 2016-07-19 totaling $183.27 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Online transactions came from a CRO-L03 Build/HUAWEICRO-L03 on chrome 62.0 for android. Card blocked and reissued. Customer reimbursed."
CC-0873,C10434,C10434-K1,2016-07-21 11:56:18,2016-07-23 05:56:18,cleared,none,,3076736,1,0.0,,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No,Case CC-0873: model scored a $50.05 transaction at 0.93. Cardholder confirmed travel to the billing region in question. Alert cleared.
CC-1056,C11923,C11923-K2,2016-07-24 02:41:55,2016-07-25 23:41:55,confirmed_fraud,card_not_present_new_device,3031806.0,3031806|3035501|3035738|3040952|3041174|3042525|3042624|3043950|3045227|3052803|3056803|3059207|3059961|3060772|3062424|3062488|3063492|3064629|3071061|3071091|3071116|3071333|3076328|3076738|3077255|3078484|3081748|3086298,28,1557.95,,CREATE_CASE|BLOCK_CARD|FILE_REPORT,Yes,"Case CC-1056: cardholder C11923 reported unrecognized activity on card C11923-K2. 28 transaction(s) between 2016-07-11 and 2016-07-22 totaling $1,557.95 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Card blocked and reissued. Customer reimbursed."
CC-1066,C12382,C12382-K1,2016-07-24 03:41:00,2016-07-29 18:41:00,confirmed_fraud,out_of_region_use,3090135.0,3090135,1,170.98,,CREATE_CASE|BLOCK_CARD,No,"Case CC-1066: cardholder C12382 reported unrecognized activity on card C12382-K1. 1 transaction(s) between 2016-07-23 and 2016-07-23 totaling $170.98 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-1228,C09933,C09933-K2,2016-07-26 15:26:52,2016-07-28 17:26:52,confirmed_fraud,account_takeover,3074366.0,3074366|3074509|3076463|3077093|3081149|3081192|3086913|3091426|3100127|3101379,10,1112.65,,CREATE_CASE|BLOCK_CARD|FILE_REPORT,Yes,"Case CC-1228: cardholder C09933 reported unrecognized activity on card C09933-K2. 10 transaction(s) between 2016-07-20 and 2016-07-25 totaling $1,112.65 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed."
CC-1293,C13171,C13171-K2,2016-07-27 18:06:16,2016-07-29 03:06:16,confirmed_fraud,card_not_present_fraud,3081145.0,3081145|3081191|3081517|3085733|3085759|3087851|3098221|3105036|3105060|3110106,10,419.34,,CREATE_CASE|BLOCK_CARD,No,Case CC-1293: cardholder C13171 reported unrecognized activity on card C13171-K2. 10 transaction(s) between 2016-07-22 and 2016-07-27 totaling $419.34 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a SM-A300H Build/LRX22G on chrome 63.0 for android. Card blocked and reissued. Customer reimbursed.
CC-1313,C03042,C03042-K1,2016-07-28 00:03:51,2016-07-28 22:03:51,cleared,none,,3113745,1,0.0,,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No,Case CC-1313: model scored a $100.08 transaction at 0.87. Cardholder confirmed travel to the billing region in question. Alert cleared.
CC-1383,C04570,C04570-K1,2016-07-29 01:30:41,2016-08-01 00:30:41,cleared,none,,3118964,1,0.0,,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No,Case CC-1383: model scored a $99.98 transaction at 0.91. Cardholder confirmed travel to the billing region in question. Alert cleared.
CC-1450,C02354,C02354-K2,2016-07-30 07:41:05,2016-08-03 22:41:05,confirmed_fraud,account_takeover,3075860.0,3075860|3076708|3083388|3085750|3086238|3091016|3091249|3097964|3102590|3112866|3118311|3118695|3122604|3122656,14,2351.25,,CREATE_CASE|BLOCK_CARD|FILE_REPORT,Yes,"Case CC-1450: cardholder C02354 reported unrecognized activity on card C02354-K2. 14 transaction(s) between 2016-07-21 and 2016-07-29 totaling $2,351.25 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Online transactions came from a iOS Device on mobile safari 11.0. Card blocked and reissued. Customer reimbursed."
